q0_i,q1_i,q2_i,q3_i,wx_i,wy_i,wz_i,q0_f,q1_f,q2_f,q3_f,wx_f,wy_f,wz_f,phi_i,theta_i,psi_i,phi_f,theta_f,psi_f
0.096127,-0.562057,0.424061,0.703579,0.000000,0.000000,0.000000,0.783639,-0.250798,0.515263,0.239822,0.000000,0.000000,0.000000,89.000216,60.742406,-135.685982,156.965564,111.897263,-161.649476
0.123581,0.602496,-0.186483,0.766127,0.000000,0.000000,0.000000,-0.518010,0.442110,0.280603,0.676363,0.000000,0.000000,0.000000,-33.792499,-75.758660,-171.737494,-9.855490,-62.718247,-99.089295
0.096952,0.151498,-0.311373,0.933111,0.000000,0.000000,0.000000,-0.345531,-0.313577,-0.462411,0.753959,0.000000,0.000000,0.000000,144.029365,-159.933808,-5.289297,-51.983503,52.410694,-157.744529
0.877079,-0.217777,0.398015,0.157764,0.000000,0.000000,0.000000,0.397763,0.514838,-0.484572,0.584737,0.000000,0.000000,0.000000,156.448941,129.923993,-170.729603,-89.903448,-80.959840,-167.585979
0.944789,-0.179917,0.263984,-0.072910,0.000000,0.000000,0.000000,0.100350,-0.670149,0.099829,-0.728605,0.000000,0.000000,0.000000,-25.432109,28.202053,-15.314304,-73.699977,-73.040497,-106.257349
0.218921,0.728808,0.544798,-0.352290,0.000000,0.000000,0.000000,-0.086951,-0.155061,0.103206,-0.978644,0.000000,0.000000,0.000000,5.637685,131.232728,-103.885256,169.347703,-161.249517,-8.390957
0.421775,-0.405801,0.705508,-0.399613,0.000000,0.000000,0.000000,-0.102779,0.173268,0.792536,0.575588,0.000000,0.000000,0.000000,70.279004,164.287851,70.908021,-70.163738,-158.753956,-9.655548
0.038803,0.465266,0.554894,-0.688560,0.000000,0.000000,0.000000,0.044096,-0.491179,-0.164175,-0.854310,0.000000,0.000000,0.000000,-93.831541,43.140495,140.624370,27.096968,-58.618249,170.501177
0.686242,-0.577056,-0.216036,0.386532,0.000000,0.000000,0.000000,0.625752,0.344643,-0.584809,0.384257,0.000000,0.000000,0.000000,104.087824,171.396510,-127.934514,-13.002451,-85.382555,75.108214
0.467802,0.434879,-0.731483,-0.238693,0.000000,0.000000,0.000000,0.417863,0.634954,-0.398135,0.513530,0.000000,0.000000,0.000000,-59.330803,-151.525104,77.911806,-44.622031,-99.980403,153.834384
0.532716,-0.308661,0.660344,0.429986,0.000000,0.000000,0.000000,-0.595109,0.088191,0.790833,-0.112473,0.000000,0.000000,0.000000,104.687989,75.694353,168.212870,-133.282268,-67.135376,135.289710
0.361523,-0.792272,0.093044,0.482648,0.000000,0.000000,0.000000,0.486545,0.254784,-0.801562,0.236342,0.000000,0.000000,0.000000,60.552452,123.689846,-158.694445,17.520386,-115.786169,24.221038
0.718939,-0.486555,0.494497,-0.043161,0.000000,0.000000,0.000000,0.280857,0.355186,0.512910,0.729305,0.000000,0.000000,0.000000,92.890045,138.008104,133.035034,-103.157758,-166.704783,-52.686865
0.950075,0.159855,0.133638,0.232258,0.000000,0.000000,0.000000,0.408500,0.552283,0.424719,-0.589682,0.000000,0.000000,0.000000,-158.168492,169.649044,-150.523958,-59.560843,86.696472,-167.329121
0.446955,0.465582,-0.394485,-0.654100,0.000000,0.000000,0.000000,0.021326,-0.128586,-0.550673,-0.824482,0.000000,0.000000,0.000000,-105.311138,165.141090,80.054927,68.229924,-13.622283,173.711608
0.416222,-0.049916,-0.553046,-0.720005,0.000000,0.000000,0.000000,0.939580,0.172665,0.198568,0.218968,0.000000,0.000000,0.000000,63.079237,-32.158186,-140.001767,-154.472694,162.690994,-149.813409
0.599445,0.643837,0.148465,-0.451771,0.000000,0.000000,0.000000,0.672541,-0.062568,-0.693460,-0.250773,0.000000,0.000000,0.000000,78.749294,49.440156,-32.612427,-96.576935,-105.390072,70.738313
0.226585,-0.791053,-0.001133,-0.568236,0.000000,0.000000,0.000000,-0.654948,-0.721955,-0.007377,0.223092,0.000000,0.000000,0.000000,-125.152775,-64.095533,-35.826634,-87.415065,160.622653,162.633471
0.690169,-0.065267,0.693203,-0.197172,0.000000,0.000000,0.000000,0.540806,0.108756,-0.406136,-0.728529,0.000000,0.000000,0.000000,94.784447,111.390417,83.891027,-132.342032,-163.691004,65.932539
0.514585,-0.110104,-0.817129,0.235329,0.000000,0.000000,0.000000,-0.286839,0.235833,-0.028346,0.928064,0.000000,0.000000,0.000000,-125.841352,-52.105481,136.585144,168.041104,-155.072322,37.002363
0.390415,-0.625082,-0.443606,-0.509963,0.000000,0.000000,0.000000,-0.478750,-0.279386,-0.342619,-0.758521,0.000000,0.000000,0.000000,11.508712,-100.289302,-118.892459,52.271202,-5.496329,112.784371
0.677939,0.021667,-0.678262,-0.282648,0.000000,0.000000,0.000000,-0.236555,0.139274,-0.959797,-0.058598,0.000000,0.000000,0.000000,79.168287,-65.147461,-100.953432,176.973437,28.060989,-164.243622
0.834774,0.161270,0.328068,-0.411723,0.000000,0.000000,0.000000,0.512050,0.845401,-0.012986,-0.151437,0.000000,0.000000,0.000000,179.929682,137.115508,127.465960,116.295089,14.048999,-10.515532
0.307089,-0.821440,0.132718,0.461864,0.000000,0.000000,0.000000,0.535530,-0.760363,-0.050506,-0.364012,0.000000,0.000000,0.000000,44.787727,122.828189,-173.046974,-101.725923,-37.420310,-23.216018
0.402116,0.755806,-0.088103,0.509214,0.000000,0.000000,0.000000,0.195940,0.702942,-0.090220,0.677747,0.000000,0.000000,0.000000,-73.040011,-122.797722,-149.324524,-88.304842,-98.814855,-115.113705
0.488941,0.520188,0.623696,-0.318346,0.000000,0.000000,0.000000,-0.122693,0.001214,0.838116,0.531513,0.000000,0.000000,0.000000,160.731436,70.237240,86.724739,-65.553700,-168.056119,7.540775
0.052871,0.875319,0.386332,-0.285952,0.000000,0.000000,0.000000,0.674059,0.161514,0.570529,-0.440516,0.000000,0.000000,0.000000,-171.216066,32.782389,50.218059,136.172285,114.294944,84.544457
0.465264,0.826200,-0.262675,-0.178674,0.000000,0.000000,0.000000,0.659327,0.269518,0.633868,-0.301429,0.000000,0.000000,0.000000,120.255709,2.912736,-36.947410,152.403663,93.308231,104.760620
0.718410,-0.056304,-0.460988,0.517886,0.000000,0.000000,0.000000,0.428744,0.330864,-0.573981,-0.614210,0.000000,0.000000,0.000000,-44.478372,-37.159701,87.226205,82.957718,-4.918616,-114.515746
0.280105,0.785403,-0.474823,-0.281471,0.000000,0.000000,0.000000,-0.513855,0.578030,-0.121905,-0.622072,0.000000,0.000000,0.000000,134.067372,10.144766,-66.619290,124.323889,122.388497,-111.501380
0.194029,0.079310,0.916999,0.339376,0.000000,0.000000,0.000000,0.056753,0.030994,0.581710,-0.810822,0.000000,0.000000,0.000000,136.749669,17.578767,163.098479,108.874801,173.322094,3.230707
0.762117,-0.219121,-0.402725,-0.457139,0.000000,0.000000,0.000000,0.218216,0.498415,0.350136,-0.762476,0.000000,0.000000,0.000000,3.377962,-54.506835,-63.653339,-50.809647,65.904917,177.717669
0.537022,-0.382640,-0.558523,-0.503236,0.000000,0.000000,0.000000,0.355650,-0.150705,-0.754038,0.531251,0.000000,0.000000,0.000000,-118.850609,-99.938239,40.931483,-101.364381,-22.099921,139.221283
0.193101,-0.389705,0.849464,-0.298751,0.000000,0.000000,0.000000,0.269093,-0.698937,0.150477,0.645316,0.000000,0.000000,0.000000,41.381212,174.536273,51.352945,-96.991431,79.437363,48.340009
0.457837,0.443764,-0.701811,0.317679,0.000000,0.000000,0.000000,-0.324605,-0.021616,-0.753708,-0.571042,0.000000,0.000000,0.000000,5.959742,-112.395040,60.619344,98.905731,27.686109,152.905613
0.666793,0.149903,0.383106,-0.621407,0.000000,0.000000,0.000000,-0.593373,-0.377826,0.613969,-0.358047,0.000000,0.000000,0.000000,157.336805,135.796730,84.730912,167.521363,-87.686018,-104.796868
0.688066,0.023550,-0.724287,0.037675,0.000000,0.000000,0.000000,0.237382,-0.394159,0.199324,0.865193,0.000000,0.000000,0.000000,23.787266,-93.150563,-18.822870,-165.494238,129.042483,-23.744255
0.498100,-0.455404,0.592147,0.440301,0.000000,0.000000,0.000000,-0.317545,0.351232,0.313703,0.823038,0.000000,0.000000,0.000000,149.718035,82.276093,-131.471480,27.794322,-51.021741,-151.272375
0.738452,0.590359,0.305929,-0.112126,0.000000,0.000000,0.000000,0.408574,0.649822,-0.483227,0.421059,0.000000,0.000000,0.000000,81.799324,35.747653,13.947170,158.286614,-70.406313,-57.859809
0.098303,-0.924883,-0.313432,-0.191540,0.000000,0.000000,0.000000,-0.182019,0.146509,-0.917112,-0.322969,0.000000,0.000000,0.000000,3.894621,-155.422250,-143.406889,143.372392,25.372414,-170.369460
0.811935,-0.196908,0.460609,0.299712,0.000000,0.000000,0.000000,0.196751,0.724425,0.362460,-0.552378,0.000000,0.000000,0.000000,174.991720,120.002751,-142.371146,20.272564,109.448626,-112.422778
0.784907,0.191971,-0.542313,0.230142,0.000000,0.000000,0.000000,0.733220,0.050729,-0.629445,0.252217,0.000000,0.000000,0.000000,8.701103,-69.999812,26.584704,129.784635,-108.444010,-104.716449
0.180061,-0.768979,-0.091436,0.606538,0.000000,0.000000,0.000000,-0.477236,-0.536212,-0.252654,0.648759,0.000000,0.000000,0.000000,62.793771,115.854791,-124.579185,31.751463,69.536694,-84.986042
0.931584,0.336386,-0.076138,-0.114886,0.000000,0.000000,0.000000,0.512160,0.353594,0.707894,-0.333991,0.000000,0.000000,0.000000,-139.790389,-176.298030,164.583709,23.685179,105.991252,-35.123329
0.159045,0.081760,-0.613322,0.769321,0.000000,0.000000,0.000000,0.363260,0.820080,-0.422722,0.129682,0.000000,0.000000,0.000000,-75.677199,-18.716856,171.228867,-34.687099,-148.680207,135.467717
0.401241,0.234401,-0.883328,-0.061597,0.000000,0.000000,0.000000,-0.596894,0.281486,-0.565295,0.494900,0.000000,0.000000,0.000000,156.112009,-42.841940,-140.788817,-77.263974,23.342538,-98.074712
0.506917,0.046288,-0.627012,0.589702,0.000000,0.000000,0.000000,0.045066,-0.903138,0.108681,0.412915,0.000000,0.000000,0.000000,106.824811,-136.347827,-48.251077,-0.730419,130.919215,165.942913
0.565278,-0.553597,-0.308946,0.527772,0.000000,0.000000,0.000000,0.770007,0.547993,0.125645,0.301671,0.000000,0.000000,0.000000,-78.356613,13.595494,74.972500,-111.798369,-172.118072,-142.552939
0.679484,0.211413,0.668319,-0.216692,0.000000,0.000000,0.000000,0.610758,-0.369262,-0.593017,-0.372762,0.000000,0.000000,0.000000,172.315286,91.000776,137.072297,159.510559,-91.465303,137.188883
0.393809,0.418837,-0.817517,-0.034005,0.000000,0.000000,0.000000,0.966150,-0.023008,0.093049,-0.239512,0.000000,0.000000,0.000000,-29.278806,-142.018589,64.528396,174.817613,170.283201,151.712969
0.013466,0.947651,0.129029,0.291765,0.000000,0.000000,0.000000,0.079420,0.721087,-0.609500,-0.319744,0.000000,0.000000,0.000000,173.069502,-33.333319,17.584189,147.212827,21.365386,-86.765342
0.200473,-0.022147,0.956245,0.211934,0.000000,0.000000,0.000000,0.450581,-0.641213,0.294636,0.546820,0.000000,0.000000,0.000000,154.463347,23.128266,177.343811,-89.087688,75.188243,26.714668
0.327726,0.511985,-0.260556,-0.750052,0.000000,0.000000,0.000000,0.578553,0.348378,-0.603725,0.423587,0.000000,0.000000,0.000000,-115.078895,143.326937,71.014235,-75.362993,-83.570299,141.647793
0.005436,0.757892,-0.608379,0.235468,0.000000,0.000000,0.000000,0.658430,-0.036907,-0.662595,-0.355071,0.000000,0.000000,0.000000,17.379781,-158.682707,99.194885,-105.776915,-116.005250,72.723280
0.293397,-0.547002,0.352553,-0.700295,0.000000,0.000000,0.000000,-0.932295,-0.327780,0.072722,-0.134528,0.000000,0.000000,0.000000,-79.365182,-34.003914,-106.065512,-142.626801,-167.068346,-167.968355
0.542265,0.207281,0.811559,-0.065988,0.000000,0.000000,0.000000,-0.011398,0.813068,-0.214394,-0.541135,0.000000,0.000000,0.000000,163.726694,65.164474,140.903045,-27.274925,117.767507,133.792909
0.136560,0.679312,0.120778,-0.710844,0.000000,0.000000,0.000000,0.739982,0.199134,-0.602867,0.222087,0.000000,0.000000,0.000000,16.100972,87.142596,-142.923924,-172.087641,-101.283063,-153.081413
0.445020,-0.031204,0.737903,0.506441,0.000000,0.000000,0.000000,0.328074,-0.620945,0.340216,0.625339,0.000000,0.000000,0.000000,-82.796953,136.498830,-33.912873,-81.692122,91.046297,41.905127
0.054631,-0.187007,0.896105,-0.398798,0.000000,0.000000,0.000000,-0.553219,-0.293389,0.769669,-0.124427,0.000000,0.000000,0.000000,47.402802,-177.062570,22.285832,-20.447889,-112.391754,55.503927
0.106594,-0.911646,-0.384599,-0.098094,0.000000,0.000000,0.000000,0.448904,-0.692763,-0.361358,-0.433573,0.000000,0.000000,0.000000,-172.925309,-15.120238,44.806963,54.393845,-112.308054,-162.932997
0.736341,-0.029479,0.675774,-0.016220,0.000000,0.000000,0.000000,0.126712,0.411242,0.477664,0.765938,0.000000,0.000000,0.000000,142.426079,96.150863,143.501989,-103.806939,-149.408113,-42.991273
0.542912,0.040709,-0.779960,0.308629,0.000000,0.000000,0.000000,-0.207352,-0.608357,-0.471160,-0.604082,0.000000,0.000000,0.000000,-116.708771,-60.695140,146.294227,102.636312,-32.656650,101.914363
0.300646,0.667570,-0.268282,0.626088,0.000000,0.000000,0.000000,-0.230630,0.613747,-0.467819,0.592681,0.000000,0.000000,0.000000,118.300009,-85.735788,14.221866,77.149659,-149.221163,80.604800
0.157242,-0.566384,-0.216698,-0.779440,0.000000,0.000000,0.000000,-0.457179,0.541215,-0.366041,-0.603396,0.000000,0.000000,0.000000,31.120391,-72.002874,179.935732,160.029031,98.948949,-91.419412
0.338758,-0.665516,-0.397246,-0.533411,0.000000,0.000000,0.000000,0.429971,-0.541509,0.475099,0.544218,0.000000,0.000000,0.000000,-172.335667,-78.273141,55.425979,-53.620459,93.663896,46.749932
0.189124,-0.458165,-0.089744,-0.863865,0.000000,0.000000,0.000000,-0.829797,-0.289427,-0.476976,0.012796,0.000000,0.000000,0.000000,-1.852766,-55.642426,-154.324647,51.120481,53.033997,25.076334
0.409622,-0.415764,0.197458,-0.787630,0.000000,0.000000,0.000000,0.113069,-0.710948,-0.110874,-0.685183,0.000000,0.000000,0.000000,131.488226,-150.450912,68.509321,-166.018816,-87.904636,4.244309
0.599104,-0.457882,0.574176,0.318968,0.000000,0.000000,0.000000,0.350685,-0.825000,-0.342859,-0.280791,0.000000,0.000000,0.000000,-113.335985,78.545196,-46.317455,-147.080424,-44.730742,31.271690
0.652162,0.589978,0.288413,-0.378720,0.000000,0.000000,0.000000,0.627181,-0.197457,0.734873,-0.166179,0.000000,0.000000,0.000000,75.990939,55.391972,-15.696802,72.187772,121.110692,74.818769
0.672724,-0.724903,-0.117418,-0.090390,0.000000,0.000000,0.000000,0.372035,-0.879906,0.171371,-0.240804,0.000000,0.000000,0.000000,-94.706093,-16.799780,2.911066,50.524610,-162.767022,149.777963
0.805491,0.352402,-0.287790,0.379702,0.000000,0.000000,0.000000,0.735204,0.499358,-0.440052,0.128340,0.000000,0.000000,0.000000,30.789203,-46.990448,36.826373,-100.396423,-129.174032,156.609386
0.325373,0.667042,-0.339988,0.577578,0.000000,0.000000,0.000000,-0.518570,0.344502,0.519697,0.585080,0.000000,0.000000,0.000000,-18.850452,-97.350227,142.593476,-131.570429,-109.589127,47.892965
0.160562,-0.760798,-0.024005,-0.628355,0.000000,0.000000,0.000000,-0.135323,-0.689765,-0.126875,0.699867,0.000000,0.000000,0.000000,-126.555544,-74.538800,-38.308064,29.221309,88.932934,-129.408639
0.270504,0.590715,0.160147,-0.743126,0.000000,0.000000,0.000000,0.461455,0.201742,0.180380,-0.844880,0.000000,0.000000,0.000000,18.013801,74.707492,-126.199237,172.088658,149.511194,55.125570
0.416664,-0.489864,0.618737,0.451208,0.000000,0.000000,0.000000,-0.758934,0.033539,0.642244,-0.102062,0.000000,0.000000,0.000000,-31.437973,106.729918,53.097145,133.513013,-104.534666,-127.913560
0.010588,0.095528,0.390466,0.915586,0.000000,0.000000,0.000000,0.415210,0.607101,-0.529005,0.423300,0.000000,0.000000,0.000000,46.652548,-9.593690,174.530066,-10.738367,-107.585337,105.736797
0.611957,0.334529,0.581901,-0.418319,0.000000,0.000000,0.000000,0.127371,-0.299643,-0.388037,-0.862217,0.000000,0.000000,0.000000,-38.031039,82.782215,-102.502195,-131.217207,-142.007116,-0.938033
0.757920,-0.516800,0.325274,-0.229505,0.000000,0.000000,0.000000,0.292335,-0.702003,-0.552223,-0.341734,0.000000,0.000000,0.000000,-74.752935,14.823750,-45.043892,3.172991,-126.614622,-105.215677
0.591725,-0.662265,-0.433917,-0.151601,0.000000,0.000000,0.000000,0.040260,0.579698,-0.793833,-0.179325,0.000000,0.000000,0.000000,68.739879,-134.412571,-145.605182,160.435015,8.278808,-109.152092
0.425287,0.026435,-0.863294,0.270471,0.000000,0.000000,0.000000,-0.588873,0.344780,-0.687378,-0.248732,0.000000,0.000000,0.000000,42.099663,-131.531105,-16.149171,19.335877,101.165590,69.216813
0.806613,0.178884,-0.350583,0.440986,0.000000,0.000000,0.000000,0.578609,-0.685298,-0.437660,-0.063499,0.000000,0.000000,0.000000,-1.711630,-46.330860,58.064448,66.388802,-143.594331,-139.155102
0.029701,-0.096708,-0.371862,-0.922759,0.000000,0.000000,0.000000,0.258953,-0.301628,0.335267,-0.854143,0.000000,0.000000,0.000000,-136.000764,-168.429993,-1.000750,129.139490,-160.023702,43.305151
0.517679,-0.140897,0.843068,0.037329,0.000000,0.000000,0.000000,-0.621228,-0.147203,0.769545,0.014392,0.000000,0.000000,0.000000,10.193821,117.945290,25.117633,138.001485,-72.154972,-127.091703
0.530294,0.026655,0.265040,0.804880,0.000000,0.000000,0.000000,0.765282,-0.162541,-0.568820,0.253709,0.000000,0.000000,0.000000,-152.069380,166.220204,-63.315324,-60.824235,-52.011910,68.642895
0.449793,-0.560920,0.418483,0.554911,0.000000,0.000000,0.000000,0.072206,-0.483171,0.384602,0.783207,0.000000,0.000000,0.000000,117.024115,92.583527,-138.751866,-114.008292,125.670186,26.320926
0.040386,0.796922,-0.601459,-0.039135,0.000000,0.000000,0.000000,0.468081,0.496744,0.659779,-0.314384,0.000000,0.000000,0.000000,173.600763,0.790397,-74.129951,-7.847142,111.565677,-79.292608
0.094876,0.879827,-0.012765,-0.465554,0.000000,0.000000,0.000000,-0.584607,0.121328,-0.793805,0.115709,0.000000,0.000000,0.000000,161.942368,54.764875,-11.072581,48.336308,115.835406,48.803439
0.377343,0.689171,-0.131732,-0.604402,0.000000,0.000000,0.000000,0.707269,0.607912,0.010862,-0.360689,0.000000,0.000000,0.000000,-91.296848,132.806171,110.204776,72.991137,26.994112,-33.901578
0.286279,-0.925973,-0.040631,0.242831,0.000000,0.000000,0.000000,0.359491,-0.652194,-0.603040,0.285925,0.000000,0.000000,0.000000,37.442021,154.757710,-166.296248,-125.386669,-3.475269,83.720346
0.274709,0.648671,0.709492,0.019540,0.000000,0.000000,0.000000,0.706103,0.567501,-0.411081,0.101849,0.000000,0.000000,0.000000,155.638640,21.374238,90.462708,88.570460,-44.117349,-26.715384
0.680529,0.214492,0.644112,-0.275670,0.000000,0.000000,0.000000,-0.322221,0.598818,0.490041,0.545390,0.000000,0.000000,0.000000,-38.929899,84.228641,-79.542279,143.030076,-75.692129,107.711050
0.639986,-0.765170,0.043010,0.055522,0.000000,0.000000,0.000000,0.068502,-0.703903,0.178417,-0.684102,0.000000,0.000000,0.000000,79.839320,171.950995,-179.696378,80.887457,-110.175795,90.057058
0.551287,-0.195097,-0.765109,-0.269496,0.000000,0.000000,0.000000,-0.132671,0.231148,-0.960687,0.077774,0.000000,0.000000,0.000000,-38.624563,-108.423845,-0.254145,12.474705,167.352228,28.445102
0.791702,-0.288064,0.268549,-0.467020,0.000000,0.000000,0.000000,0.331847,0.830365,0.419792,-0.155387,0.000000,0.000000,0.000000,-45.703748,8.984019,-64.864667,-29.902230,147.542755,-135.250938
0.124212,0.581402,-0.390072,-0.703126,0.000000,0.000000,0.000000,0.546238,0.327412,0.620720,-0.457310,0.000000,0.000000,0.000000,88.377425,46.111917,-115.009543,-85.910477,77.844375,-153.748289
0.275390,0.559375,0.473305,-0.622287,0.000000,0.000000,0.000000,-0.386491,-0.053435,0.831716,0.394992,0.000000,0.000000,0.000000,-104.723977,73.111457,139.992323,-60.867556,-143.080809,29.543047
0.395754,-0.068626,-0.475413,-0.782721,0.000000,0.000000,0.000000,0.235522,-0.209819,-0.942314,0.112027,0.000000,0.000000,0.000000,52.024476,-28.928870,-140.706001,-160.263453,-23.382003,150.771100
0.429765,-0.643661,-0.500334,-0.388161,0.000000,0.000000,0.000000,0.350113,-0.096263,-0.636591,-0.680372,0.000000,0.000000,0.000000,-153.408212,-68.394311,57.472055,-102.080527,-144.777973,25.667951
0.074156,-0.996737,-0.031856,-0.001484,0.000000,0.000000,0.000000,-0.364984,-0.618054,-0.329961,0.613125,0.000000,0.000000,0.000000,-171.504104,-0.440260,3.628443,-111.431747,92.866159,127.453861
0.153565,-0.300954,0.885564,0.318781,0.000000,0.000000,0.000000,-0.532532,0.464891,0.535692,0.461867,0.000000,0.000000,0.000000,-32.206886,152.363564,29.416662,2.792603,-90.354372,-84.680390
0.235340,-0.104041,0.623952,0.737885,0.000000,0.000000,0.000000,0.216386,-0.747562,0.220395,0.588009,0.000000,0.000000,0.000000,-102.902620,153.434394,-14.072288,16.670235,102.960046,160.450958
0.655575,-0.070203,0.751757,-0.012384,0.000000,0.000000,0.000000,0.329788,0.626884,0.226709,-0.668476,0.000000,0.000000,0.000000,38.298413,100.286099,43.003682,44.777234,80.984094,-88.725301
0.602057,0.385308,0.679388,-0.165822,0.000000,0.000000,0.000000,0.498733,0.317590,-0.038504,-0.805555,0.000000,0.000000,0.000000,-47.319261,108.942365,-93.862925,25.469290,28.246559,-109.966139
0.164034,-0.609785,0.120540,0.765980,0.000000,0.000000,0.000000,0.103082,0.153291,0.964651,0.187950,0.000000,0.000000,0.000000,176.126350,103.166715,-27.247090,-23.466163,171.879514,-19.747771
0.805449,0.287089,0.514985,0.060180,0.000000,0.000000,0.000000,0.317581,0.788281,0.448092,0.277434,0.000000,0.000000,0.000000,-120.159205,127.341441,-139.660566,-49.307386,-171.211880,-116.728888
0.024936,-0.364936,-0.486750,-0.793268,0.000000,0.000000,0.000000,-0.345929,0.651009,-0.090646,-0.669554,0.000000,0.000000,0.000000,-109.010460,-142.896295,-23.318604,112.448738,110.854612,-104.138787
0.639368,0.268232,-0.553014,0.461991,0.000000,0.000000,0.000000,0.603833,0.785060,0.012418,0.137521,0.000000,0.000000,0.000000,-34.494874,-72.746254,97.462065,103.756559,-11.591197,10.920084
0.908840,0.246070,-0.329257,0.071057,0.000000,0.000000,0.000000,0.471561,0.097634,0.846631,0.226526,0.000000,0.000000,0.000000,-148.830695,-140.694658,177.564472,133.579686,48.959299,144.748815
0.681338,-0.137311,-0.706882,-0.131311,0.000000,0.000000,0.000000,0.635753,0.655532,-0.400455,-0.075704,0.000000,0.000000,0.000000,-177.734234,-87.873774,155.831355,-78.607270,-155.799639,137.067101
0.026157,0.556892,-0.138213,0.818587,0.000000,0.000000,0.000000,0.321467,0.581906,0.696076,-0.271151,0.000000,0.000000,0.000000,150.005246,-113.225613,16.365686,-179.702357,49.738189,100.348083
0.682366,-0.452237,-0.373617,0.436199,0.000000,0.000000,0.000000,-0.017534,-0.806080,0.424487,0.411993,0.000000,0.000000,0.000000,-71.706784,-6.624179,69.966543,-29.806866,139.510156,113.244615
0.703544,-0.482143,-0.277440,-0.442257,0.000000,0.000000,0.000000,0.725269,0.283571,-0.625882,-0.042949,0.000000,0.000000,0.000000,131.353383,-125.229881,142.048689,83.168500,-62.068286,-62.972961
0.058879,-0.773145,0.139969,-0.615783,0.000000,0.000000,0.000000,0.692648,-0.155700,-0.692879,-0.126154,0.000000,0.000000,0.000000,48.301915,-110.658997,125.015415,78.052141,-92.394326,-101.049415
